year,city,country,avg_temp,avg_temp_global,ma_10_temp_global,ma_10_temp_city
1847,Singapore,Singapore,25.88,8.09,7.984,26.013
1850,Singapore,Singapore,26.01,7.9,7.935,25.971
1851,Singapore,Singapore,26.09,8.18,7.99,26.001
1852,Singapore,Singapore,25.97,8.1,8.02,26.009
1853,Singapore,Singapore,26.18,8.04,8.055,26.029
1854,Singapore,Singapore,25.95,8.21,8.074,26.01
1855,Singapore,Singapore,26.08,8.11,8.068,25.996
1856,Singapore,Singapore,26.17,8,8.103,26.04
1858,Singapore,Singapore,26.15,8.1,8.128,26.093
1859,Singapore,Singapore,26.24,8.25,8.098,26.072
1860,Singapore,Singapore,25.93,7.96,8.085,26.077
1861,Singapore,Singapore,25.89,7.85,8.08,26.065
1863,Singapore,Singapore,26.09,8.11,8.073,26.065
1864,Singapore,Singapore,25.92,7.98,8.061,26.06
1865,Singapore,Singapore,26.15,8.18,8.075,26.057
1866,Singapore,Singapore,26.12,8.29,8.083,26.074
1867,Singapore,Singapore,26.04,8.44,8.116,26.07
1868,Singapore,Singapore,26.15,8.25,8.141,26.068
1869,Singapore,Singapore,25.98,8.43,8.174,26.051
1870,Singapore,Singapore,25.57,8.2,8.169,25.984
1871,Singapore,Singapore,25.58,8.12,8.185,25.949
1872,Singapore,Singapore,26.17,8.19,8.219,25.977
1873,Singapore,Singapore,26.4,8.35,8.243,26.008
1874,Singapore,Singapore,26.09,8.43,8.288,26.025
1875,Singapore,Singapore,25.47,7.86,8.256,25.957
1876,Singapore,Singapore,25.72,8.08,8.235,25.917
1877,Singapore,Singapore,26.25,8.54,8.245,25.938
1878,Singapore,Singapore,26.57,8.83,8.303,25.98
1879,Singapore,Singapore,25.75,8.17,8.277,25.957
1880,Singapore,Singapore,26.12,8.12,8.269,26.012
1881,Singapore,Singapore,26.55,8.27,8.284,26.109
1882,Singapore,Singapore,26.1,8.13,8.278,26.102
1883,Singapore,Singapore,26,7.98,8.241,26.062
1884,Singapore,Singapore,25.86,7.77,8.175,26.039
1885,Singapore,Singapore,26.22,7.92,8.181,26.114
1886,Singapore,Singapore,26.4,7.95,8.168,26.182
1887,Singapore,Singapore,25.6,7.91,8.105,26.117
1888,Singapore,Singapore,26.26,8.09,8.031,26.086
1889,Singapore,Singapore,26.46,8.32,8.046,26.157
1890,Singapore,Singapore,25.84,7.97,8.031,26.129
1891,Singapore,Singapore,26.14,8.02,8.006,26.088
1892,Singapore,Singapore,26.04,8.07,8,26.082
1893,Singapore,Singapore,25.8,8.06,8.008,26.062
1894,Singapore,Singapore,25.99,8.16,8.047,26.075
1895,Singapore,Singapore,26.09,8.15,8.07,26.062
1896,Singapore,Singapore,26.46,8.21,8.096,26.068
1897,Singapore,Singapore,26.58,8.29,8.134,26.166
1898,Singapore,Singapore,26.3,8.18,8.143,26.17
1899,Singapore,Singapore,26.22,8.4,8.151,26.146
1900,Singapore,Singapore,26.53,8.5,8.204,26.215
1901,Singapore,Singapore,26.06,8.54,8.256,26.207
1902,Singapore,Singapore,25.98,8.3,8.279,26.201
1903,Singapore,Singapore,26.15,8.22,8.295,26.236
1904,Singapore,Singapore,25.85,8.09,8.288,26.222
1905,Singapore,Singapore,26.61,8.23,8.296,26.274
1906,Singapore,Singapore,26.33,8.38,8.313,26.261
1907,Singapore,Singapore,26.3,7.95,8.279,26.233
1908,Singapore,Singapore,26.22,8.19,8.28,26.225
1909,Singapore,Singapore,26.29,8.18,8.258,26.232
1910,Singapore,Singapore,26.11,8.22,8.23,26.19
1911,Singapore,Singapore,26.35,8.18,8.194,26.219
1912,Singapore,Singapore,26.52,8.17,8.181,26.273
1913,Singapore,Singapore,26.26,8.3,8.189,26.284
1914,Singapore,Singapore,26.65,8.59,8.239,26.364
1915,Singapore,Singapore,26.68,8.59,8.275,26.371
1916,Singapore,Singapore,26.29,8.23,8.26,26.367
1917,Singapore,Singapore,25.92,8.02,8.267,26.329
1918,Singapore,Singapore,25.9,8.13,8.261,26.297
1919,Singapore,Singapore,26.55,8.38,8.281,26.323
1920,Singapore,Singapore,26.44,8.36,8.295,26.356
1921,Singapore,Singapore,26.23,8.57,8.334,26.344
1922,Singapore,Singapore,26.28,8.41,8.358,26.32
1923,Singapore,Singapore,26.26,8.42,8.37,26.32
1924,Singapore,Singapore,26.38,8.51,8.362,26.293
1925,Singapore,Singapore,26.22,8.53,8.356,26.247
1926,Singapore,Singapore,26.6,8.73,8.406,26.278
1927,Singapore,Singapore,26.45,8.52,8.456,26.331
1928,Singapore,Singapore,26.58,8.63,8.506,26.399
1929,Singapore,Singapore,26.46,8.24,8.492,26.39
1930,Singapore,Singapore,26.72,8.63,8.519,26.418
1931,Singapore,Singapore,26.88,8.72,8.534,26.483
1932,Singapore,Singapore,26.53,8.71,8.564,26.508
1933,Singapore,Singapore,26.37,8.34,8.556,26.519
1934,Singapore,Singapore,26.25,8.63,8.568,26.506
1935,Singapore,Singapore,26.55,8.52,8.567,26.539
1936,Singapore,Singapore,26.6,8.55,8.549,26.539
1937,Singapore,Singapore,26.73,8.7,8.567,26.567
1938,Singapore,Singapore,26.64,8.86,8.59,26.573
1939,Singapore,Singapore,26.58,8.76,8.642,26.585
1940,Singapore,Singapore,26.86,8.76,8.655,26.599
1941,Singapore,Singapore,27.28,8.77,8.66,26.639
1942,Singapore,Singapore,26.92,8.73,8.662,26.678
1943,Singapore,Singapore,26.49,8.76,8.704,26.69
1944,Singapore,Singapore,26.66,8.85,8.726,26.731
1945,Singapore,Singapore,26.64,8.58,8.732,26.74
1946,Singapore,Singapore,26.83,8.68,8.745,26.763
1947,Singapore,Singapore,26.93,8.8,8.755,26.783
1948,Singapore,Singapore,26.8,8.75,8.744,26.799
